Codigo,Nombre,Descripcion,Categoria,UM,Stock Medio,Stock Minimo,P. compra,P. publico,P. menudeo,P. mayoreo,Moneda,Control stock,Fecha Modificacion,Usuario Modificacion
1141,CUBRECAMA KING,CUBRECAMA KING,P. CASA,Un,0,0,24.0,26,26,26,Soles,NO,30/04/2024,TATI
1140,COBERTOR DE PLUMAS KING,COBERTOR DE PLUMAS KING,P. CASA,Un,0,0,30.0,30,30,30,Soles,NO,30/04/2024,TATI
1139,PASHMINA,PASHMINA,P. VESTIR,Un,0,0,8.0,8,8,8,Soles,NO,10/08/2022,TATI
1138,ALBORNOZ,ALBORNOZ,P. VESTIR,Un,0,0,10.0,10,10,10,Soles,NO,9/08/2022,TATI
1137,PLANCHADO SHORT,PLANCHADO SHORT,PLANCHADO,Un,0,0,5.0,5,5,5,Soles,NO,21/12/2022,TATI
1136,PLANCHADO POLO,PLANCHADO POLO,PLANCHADO,Un,0,0,4.0,4,4,4,Soles,NO,21/12/2022,TATI
1135,PROTECTOR DE COLCHON,PROTECTOR DE COLCHON,P. CASA,Un,0,0,15.0,15,15,15,Soles,NO,9/08/2022,TATI
1134,BAJERA DE POLLERA,BAJERA DE POLLERA,P. VESTIR,Un,0,0,12.0,12,12,12,Soles,NO,5/08/2022,TATI
1132,CASACA NIÑO,CASACA NIÑO,P. VESTIR,Un,0,0,8.0,8,8,8,Soles,NO,13/07/2022,TATI
1131,CASACA PELUCHE,CASACA PELUCHE,P. VESTIR,Un,0,0,15.0,15,15,15,Soles,NO,13/07/2022,TATI
1130,TEÑIDO GORRO,TEÑIDO GORRO,TEÑIDO,Un,0,0,9.0,9,9,9,Soles,NO,17/05/2024,TATI
1127,JUMPER,JUMPER,P. VESTIR,Un,0,0,12.0,12,12,12,Soles,NO,17/05/2024,TATI
1126,TEÑIDO VESTIDO,TEÑIDO VESTIDO,TEÑIDO,Un,0,0,16.0,16,16,16,Soles,NO,17/05/2024,TATI
1125,TEÑIDO CHALECO,TEÑIDO CHALECO,TEÑIDO,Un,0,0,15.0,15,15,15,Soles,NO,17/05/2024,TATI
1124,TAPETE,TAPETE,P. CASA,Un,0,0,5.0,5,5,5,Soles,NO,30/06/2022,TATI
1123,DELANTAL,DELANTAL,P. VESTIR,Un,0,0,5.0,5,5,5,Soles,NO,30/06/2022,TATI
1122,PIJAMA,PIJAMA,P. VESTIR,Un,0,0,15.0,15,15,15,Soles,NO,30/06/2022,TATI
1121,SHORT,SHORT,P. VESTIR,Un,0,0,4.0,4,4,4,Soles,NO,30/06/2022,TATI
1120,CENTRO DE MESA,CENTRO DE MESA,P. CASA,Un,0,0,10.0,10,10,10,Soles,NO,30/06/2022,TATI
1119,TOALLA,TOALLA,P. CASA,Un,0,0,8.0,8,8,8,Soles,NO,17/05/2024,TATI
1118,PLANCHADO CASACA,PLANCHADO CASACA,PLANCHADO,Un,0,0,6.0,10,10,10,Soles,NO,21/12/2022,TATI
1116,FUNDA DE AUTO,FUNDA DE AUTO,P. CASA,Un,0,0,35.0,35,35,35,Soles,NO,17/05/2024,TATI
1115,SABANAS JUEGO 3 PIEZAS,SABANAS JUEGO 3 PIEZAS,P. CASA,Un,0,0,11.0,11,11,11,Soles,NO,30/04/2024,TATI
1114,FUNDA DE BAÑO,FUNDA DE BAÑO,P. CASA,Un,0,0,5.0,5,5,5,Soles,NO,30/06/2022,TATI
1113,COBERTOR DE PELUCHE KING,COBERTOR DE PELUCHE KING,P. CASA,Un,0,0,12.0,29,29,29,Soles,NO,10/08/2022,TATI
1112,COLCHA,COLCHA,P. CASA,Un,0,0,16.0,16,16,16,Soles,NO,17/05/2024,TATI
1111,COBERTOR DE NYLON KING,COBERTOR DE NYLON KING,P. CASA,Un,0,0,28.0,28,28,28,Soles,NO,17/05/2024,TATI
1109,PLANCHADO VESTIDO,PLANCHADO VESTIDO,PLANCHADO,Un,0,0,10.0,12,12,12,Soles,NO,21/12/2022,TATI
1108,TEÑIDO CAMISA,TEÑIDO CAMISA,TEÑIDO,Un,0,0,13.0,13,13,13,Soles,NO,10/08/2022,TATI
1107,CAMA DE PERRO,CAMA DE PERRO,P. CASA,Un,0,0,25.0,25,25,25,Soles,NO,17/05/2024,TATI
1106,TEÑIDO BLUSA,TEÑIDO BLUSA,TEÑIDO,Un,0,0,12.0,13,13,13,Soles,NO,10/08/2022,TATI
1105,CASACA IMPERMEABLE,CASACA IMPERMEABLE,P. VESTIR,Un,0,0,14.0,16,16,16,Soles,NO,29/09/2023,TATI
1104,RUANA,RUANA,P. VESTIR,Un,0,0,15.0,15,15,15,Soles,NO,28/06/2022,TATI
45646,INDIVIDUALES DE TELA,INDIVIDUALES DE TELA,P. CASA,Un,0,0,1.0,2,2,2,Soles,NO,22/12/2021,TATI
45645,PONCHO,PONCHO,P. VESTIR,Un,0,0,7.0,20,20,20,Soles,NO,28/02/2024,TATI
45644,TEÑIDO TOALLA,TEÑIDO TOALLA,TEÑIDO,Un,0,0,10.0,16,16,16,Soles,NO,30/06/2022,TATI
99222230,BOLSO,BOLSO,P. CASA,Un,0,0,5.0,10,10,10,Soles,NO,22/12/2021,TATI
99222228,BANDA DE REYNADO,BANDA DE REYNADO,P. VESTIR,Un,0,0,10.0,10,10,10,Soles,NO,15/12/2021,TAT
99222227,CAMA DE BEBE,CAMA DE BEBE,P. CASA,Un,0,0,15.0,15,15,15,Soles,NO,15/12/2021,TAT
99222226,TRAJES DE KARATE,TRAJES DE KARATE,P. VESTIR,Un,0,0,20.0,20,20,20,Soles,NO,17/05/2024,TATI
99222225,CORDON MORADO,CORDON MORADO,P. VESTIR,Un,0,0,5.0,5,5,5,Soles,NO,15/12/2021,TAT
